City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
83,Santa Lucia,ES,52.77,scattered clouds,27.9117,-15.5407,Las Tirajanas
84,Sinnamary,GF,76.33,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
85,Atuona,PF,78.28,clear sky,-9.8,-139.0333,Villa Enata
86,Bubaque,GW,76.77,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
87,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hotel San Juan
88,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
89,Oussouye,SN,72.25,scattered clouds,12.485,-16.5469,Auberge du Routard
90,Albany,US,32.81,clear sky,42.6001,-73.9662,
91,Mount Gambier,AU,65.37,broken clouds,-37.8333,140.7667,The Commodore
92,Vilyuysk,RU,8.11,light snow,63.7553,121.6247,Gostinitsa Viliuisk
93,Esperance,AU,68.76,scattered clouds,-33.8667,121.9,Hospitality Esperance
94,Bengkulu,ID,80.55,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
95,Energetik,RU,30.85,overcast clouds,51.7445,58.7934,Zhemchuzhina
96,Arraial Do Cabo,BR,76.5,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
97,Krasnoarmeysk,RU,25.77,overcast clouds,51.0239,45.6969,"Hotel ""Your home-Balzer"""
98,Erzin,TR,56.12,overcast clouds,36.9559,36.2,Artemis Otel
99,Vidosi,BA,40.51,scattered clouds,43.7714,17.0283,Hotel Bacchus Livno
100,Madang,PG,86.9,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
101,Mnogovershinnyy,RU,3.58,broken clouds,53.9353,139.9242,Obshchezhitiye 14
102,Benjamin Aceval,PY,75.6,overcast clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
103,Hamilton,US,50.63,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
104,Puerto Berrio,CO,74.91,broken clouds,6.4916,-74.4033,Hotel Central
105,Kawalu,ID,79.38,overcast clouds,-7.3817,108.2082,West Jontor
106,Matara,LK,77.94,clear sky,5.9485,80.5353,Amaloh Boutique Resort
108,Tasiilaq,GL,23.16,overcast clouds,65.6145,-37.6368,The Red House
110,San Patricio,US,67.53,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
112,Suntar,RU,9.99,light snow,62.1444,117.6319,Гостевая квартира
113,Torbay,CA,25.75,broken clouds,47.6666,-52.7314,Gallows Cove
114,Ahipara,NZ,75.7,few clouds,-35.1667,173.1667,Ahipara Holiday Park
115,Along,IN,51.42,overcast clouds,28.1667,94.7667,Hotel West
117,Katsuura,JP,42.91,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
118,Bonthe,SL,76.17,clear sky,7.5264,-12.505,Bonthe Holiday Village
120,Manaure,CO,76.73,clear sky,11.7751,-72.4445,Hotel Palaaima
121,Donegal,IE,42.66,overcast clouds,54.65,-8.1167,The Central Hotel Donegal
122,Brewster,US,34.39,clear sky,41.3973,-73.6171,Heidi's Inn
123,Port Hardy,CA,39.76,light intensity shower rain,50.6996,-127.4199,Airport Inn-Port Hardy
124,Kununurra,AU,93.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
125,Namatanai,PG,86.61,light rain,-3.6667,152.4333,Seagulls Inn Namatani
128,Bredasdorp,ZA,65.52,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
129,Pacific Grove,US,55.56,overcast clouds,36.6177,-121.9166,Lovers Point Inn
131,Dikson,RU,16.92,light snow,73.5069,80.5464,
132,Changping,CN,31.64,clear sky,40.2186,116.2197,Huachang Hotel
133,Codrington,AU,61.86,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
134,Gora,PL,47.28,light rain,51.6664,16.5349,Hotel Noclegi Góra
135,Las Vegas,US,70.48,clear sky,36.175,-115.1372,Plaza Hotel & Casino
137,Isangel,VU,89.71,broken clouds,-19.55,169.2667,Tanna Lodge
138,Kaka,TM,52.09,broken clouds,37.3482,59.6143,
139,Kumluca,TR,52.68,overcast clouds,36.3703,30.2869,TurkuazKöy
140,Tuatapere,NZ,74.82,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
141,Hasaki,JP,41.4,clear sky,35.7333,140.8333,Inubosaki Kanko Hotel
144,Sharya,RU,23.34,scattered clouds,58.3686,45.5144,Sharya
145,Husavik,IS,30.11,scattered clouds,66.0449,-17.3389,Bjarnabúð
146,Huarmey,PE,71.78,overcast clouds,-10.0681,-78.1522,Hotel Miramar
147,Kirakira,SB,84.4,overcast clouds,-10.4544,161.9205,SanBiz Lodge
148,San Cristobal,VE,64.58,few clouds,7.7669,-72.225,Pirineos
149,Zelenoborskiy,RU,11.93,overcast clouds,66.845,32.3622,Turisticheskaya baza
150,Nkoyaphiri,BW,70.2,scattered clouds,-24.6322,25.8314,Sunbeam Hotel
151,Conde,BR,78.26,few clouds,-7.2597,-34.9075,Pousada Beija Flor
152,Tumaco,CO,77.31,overcast clouds,1.7986,-78.8156,Unión Victoria
153,Alice Springs,AU,83.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
154,Hoopstad,ZA,68.14,clear sky,-27.8327,25.9083,Nel's Rust Self Catering Accommodation
156,Faanui,PF,81.39,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
157,Butaritari,KI,81.59,light rain,3.0707,172.7902,Isles Sunset Lodge
158,Chuy,UY,70.68,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
159,Souillac,MU,81.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
160,Palanga,LT,35.62,light rain,55.9175,21.0686,"Hotel ""Austėja"""
161,Noumea,NC,87.78,few clouds,-22.2763,166.4572,Hôtel Le Lagon
165,Chicama,PE,63.14,overcast clouds,-7.8447,-79.1469,Balihai Bungalows
166,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
167,Airai,TL,71.2,light rain,-8.9266,125.4092,
168,Colares,PT,55.81,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
169,Hualmay,PE,70.93,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
170,Linjiang,CN,14.32,overcast clouds,41.8069,126.9078,格林豪泰
171,Batsfjord,NO,21.4,overcast clouds,70.6345,29.7185,Adventure Apartements
172,Port Blair,IN,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
173,Chabahar,IR,71.33,clear sky,25.2919,60.643,هتل گدروشیا
174,Ostersund,SE,16.25,overcast clouds,63.1792,14.6357,Best Western Hotel Gamla Teatern
175,Bonavista,CA,17.6,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
176,Tarakan,ID,78.3,moderate rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
177,Canyon,US,61.52,clear sky,34.9803,-101.9188,"Holiday Inn Express & Suites Canyon, an IHG Hotel"
179,Irvine,US,61.79,broken clouds,33.6695,-117.8231,Residence Inn by Marriott Irvine John Wayne Airport/Orange County
180,Taoudenni,ML,73.35,scattered clouds,22.6783,-3.9836,
181,Semey,KZ,8.82,clear sky,50.4111,80.2275,Grand Hotel Semey
182,Kruisfontein,ZA,60.19,clear sky,-34.0033,24.7314,Oyster Bay House Rental
183,Altamont,US,33.64,broken clouds,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
184,Palmer,US,30.07,clear sky,42.1584,-72.3287,Wedgewood Motel
185,Gao,ML,68.45,clear sky,16.6362,1.637,
186,Goundam,ML,75.02,clear sky,16.4145,-3.6708,
187,Orange,US,61.99,broken clouds,33.7,-117.7675,Meadows
188,Acarau,BR,78.39,broken clouds,-2.8856,-40.12,castelo pizzaria
189,Geraldton,AU,95.41,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
190,Kudahuvadhoo,MV,80.92,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
191,Zemio,CF,66.92,overcast clouds,5.0314,25.1361,OCHA Office
192,Ewa Beach,US,81.01,few clouds,21.3156,-158.0072,Base Lodging
193,Berlevag,NO,25.2,light snow,70.8578,29.0864,Kvitbrakka
194,Prokhorovka,RU,31.57,few clouds,51.0374,36.7325,
195,Severo-Kurilsk,RU,28.9,overcast clouds,50.6789,156.125,Kak Doma
196,Caconda,AO,58.78,overcast clouds,-13.7333,15.0667,
197,Peleduy,RU,4.35,light snow,59.6289,112.7406,Гостиница «Уют»
198,Darjiling,IN,35.69,clear sky,27.0333,88.2667,Windamere Hotel
200,Whitehorse,CA,4.1,few clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
201,Ust-Tsilma,RU,22.1,light snow,65.441,52.1498,U Praskov'i
202,Margate,GB,42.12,scattered clouds,51.3813,1.3862,Premier Inn Margate hotel
203,Dicabisagan,PH,75.25,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
204,Adrar,MR,64.98,broken clouds,20.5022,-10.0711,
205,Roebourne,AU,98.35,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
206,Kavaratti,IN,81.14,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
208,Paita,PE,72.0,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
209,Srandakan,ID,82.89,broken clouds,-7.9386,110.2506,Puri Brata
210,Yarada,IN,71.92,mist,17.65,83.2667,Yarada Jungle Beach Resorts
211,Taitung,TW,59.27,broken clouds,22.7583,121.1444,Taitung Bali Suites Hotel
212,Havre-Saint-Pierre,CA,12.2,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
213,Vao,NC,80.17,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
214,Carutapera,BR,76.93,overcast clouds,-1.195,-46.02,Lidera
215,Tutoia,BR,78.78,broken clouds,-2.7619,-42.2744,Pousada Guará's
216,Nemuro,JP,25.23,light snow,43.3236,145.575,Hotel Nemuro Kaiyoutei
217,Takoradi,GH,79.14,overcast clouds,4.8845,-1.7554,Raybow International Hotel
218,Gorontalo,ID,75.88,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
219,Kurilsk,RU,29.53,light snow,45.2333,147.8833,Hotel Ostrov
220,Santiago,CL,69.85,clear sky,-33.4569,-70.6483,Hotel Panamericano
222,El Banco,CO,79.39,broken clouds,9.0011,-73.9758,HOTEL RADOA El Banco Magdalena
223,Ribas Do Rio Pardo,BR,73.09,clear sky,-20.4431,-53.7592,Pousada Avenida
224,Krasnovishersk,RU,27.12,light snow,60.4078,57.082,Vishera hotel
225,Karratha,AU,99.52,clear sky,-20.7377,116.8463,ibis Styles Karratha
226,Ancud,CL,58.53,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
227,Christchurch,NZ,68.32,clear sky,-43.5333,172.6333,The George
228,Tatawin,TN,51.71,clear sky,32.9297,10.4518,Sangho Privilege Tataouine
229,College,US,10.8,broken clouds,64.8569,-147.8028,Pike's Waterfront Lodge
230,Buenavista,PH,82.13,overcast clouds,8.9769,125.4089,Room For Rent
231,Ambilobe,MG,74.39,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
232,Lokosovo,RU,13.3,overcast clouds,61.1333,74.8167,
233,Nabire,ID,75.6,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
234,Mount Barker,AU,68.86,overcast clouds,-35.0667,138.8667,A Suite Spot in the Hills
235,Caravelas,BR,75.96,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
237,Aleksandrov Gay,RU,24.73,overcast clouds,50.147,48.5704,Gostinitsa
238,Morros,BR,71.78,overcast clouds,-9.4467,-46.3003,
239,Hilo,US,78.53,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
240,Provideniya,RU,5.36,light snow,64.3833,-173.3,
241,Port Hedland,AU,96.85,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
242,Galle,LK,78.04,clear sky,6.0367,80.217,Amangalla
244,Kaitangata,NZ,68.41,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
245,Lagoa,PT,55.74,few clouds,39.05,-27.9833,Casa Das Faias
246,Garowe,SO,65.59,broken clouds,8.4054,48.4845,Curubo Hotel
247,Manggar,ID,81.54,overcast clouds,-2.8833,108.2667,Guest Hotel
248,Dickinson,US,62.98,overcast clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
250,Chapais,CA,10.18,light snow,49.7834,-74.8492,Hôtel Opémiska
251,Boden,SE,8.6,overcast clouds,65.8252,21.6886,Quality Hotel Bodensia
252,Lagos,NG,80.92,scattered clouds,6.5833,3.75,
253,Middlesex,US,30.34,clear sky,42.4998,-71.3328,Concord's Colonial Inn
254,Kysyl-Syr,RU,6.57,light snow,63.8986,122.7617,
255,Pouebo,NC,85.69,few clouds,-20.4,164.5667,RIVÂT LODGE
256,Hammerfest,NO,16.25,clear sky,70.6634,23.6821,Skytterhuset
257,Edd,ER,75.61,broken clouds,13.9297,41.6925,
258,Alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
259,Pangody,RU,13.95,overcast clouds,65.85,74.4859,Elizaveta Shevchuk's House
260,Lebu,CL,56.52,clear sky,-37.6167,-73.65,Hostal Las Lilas
261,Esik,KZ,15.22,clear sky,43.3552,77.4525,"Gostevoy Dom ""Asyl Tau"""
263,Fortuna,US,47.66,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
