City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
145,Husavik,IS,66.0449,-17.3389,30.11,87,29,9.01,scattered clouds
146,Huarmey,PE,-10.0681,-78.1522,71.78,84,100,5.93,overcast clouds
147,Kirakira,SB,-10.4544,161.9205,84.4,78,90,6.42,overcast clouds
148,San Cristobal,VE,7.7669,-72.225,64.58,86,16,3.11,few clouds
149,Zelenoborskiy,RU,66.845,32.3622,11.93,95,100,4.76,overcast clouds
150,Nkoyaphiri,BW,-24.6322,25.8314,70.2,56,26,4.85,scattered clouds
151,Conde,BR,-7.2597,-34.9075,78.26,89,20,3.44,few clouds
152,Tumaco,CO,1.7986,-78.8156,77.31,87,100,1.79,overcast clouds
153,Alice Springs,AU,-23.7,133.8833,83.75,28,92,6.91,overcast clouds
154,Hoopstad,ZA,-27.8327,25.9083,68.14,51,5,5.82,clear sky
155,Pevek,RU,69.7008,170.3133,-35.66,97,49,0.92,scattered clouds
156,Faanui,PF,-16.4833,-151.75,81.39,76,43,17.74,scattered clouds
157,Butaritari,KI,3.0707,172.7902,81.59,79,93,19.15,light rain
158,Chuy,UY,-33.6971,-53.4616,70.68,79,83,10.98,broken clouds
159,Souillac,MU,-20.5167,57.5167,81.36,83,75,26.46,broken clouds
160,Palanga,LT,55.9175,21.0686,35.62,100,100,16.11,light rain
161,Noumea,NC,-22.2763,166.4572,87.78,99,13,7.25,few clouds
162,Longyearbyen,SJ,78.2186,15.6401,-2.36,78,0,16.11,clear sky
163,Upernavik,GL,72.7868,-56.1549,-9.65,98,100,6.78,overcast clouds
164,Oranjemund,NA,-28.55,16.4333,61.83,88,0,8.37,clear sky
165,Chicama,PE,-7.8447,-79.1469,63.14,77,100,4.94,overcast clouds
166,Padang,ID,-0.9492,100.3543,86.05,67,96,2.3,overcast clouds
167,Airai,TL,-8.9266,125.4092,71.2,66,100,2.17,light rain
168,Colares,PT,38.7992,-9.4469,55.81,73,100,15.01,overcast clouds
169,Hualmay,PE,-11.0964,-77.6139,70.93,86,100,5.57,overcast clouds
170,Linjiang,CN,41.8069,126.9078,14.32,76,100,5.1,overcast clouds
171,Batsfjord,NO,70.6345,29.7185,21.4,79,100,3.15,overcast clouds
172,Port Blair,IN,11.6667,92.75,75.24,88,20,0.0,mist
